service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20190828,20191214
2,1,1,1,1,1,0,0,20190828,20191214
3,1,1,1,1,1,0,0,20190828,20191214
7,1,1,1,1,1,1,0,20190828,20191214
8,1,1,1,1,1,1,1,20190828,20191214
14,1,1,1,1,1,1,1,20190828,20191214
32,1,1,1,1,1,0,0,20190828,20191214
36,1,1,1,1,1,0,0,20190828,20191214
45,1,1,1,1,0,0,0,20190828,20191214
60,1,1,1,1,1,0,0,20190828,20191214
81,1,1,1,1,0,0,1,20190828,20191214
82,1,1,1,1,0,0,0,20190828,20191214
88,1,1,1,1,1,0,0,20190828,20191214
89,1,1,1,1,1,0,0,20190828,20191214
93,1,1,1,1,1,0,0,20190828,20191214
100,0,1,0,0,1,0,0,20190828,20191214
102,1,1,1,1,1,1,1,20190828,20191214
104,1,1,1,1,1,0,0,20190828,20191214
109,1,1,1,1,1,0,0,20190828,20191214
114,0,1,0,0,0,0,0,20190828,20191214
115,0,1,1,1,0,0,0,20190828,20191214
142,1,1,1,1,1,1,1,20190828,20191214
143,1,1,1,1,1,0,1,20190828,20191214
144,1,1,1,1,1,1,0,20190828,20191214
146,1,1,1,1,1,1,1,20190828,20191214
147,1,1,1,0,1,0,0,20190828,20191214
151,1,1,1,0,1,1,1,20190828,20191214
152,1,1,1,0,1,1,0,20190828,20191214
153,1,1,1,0,1,0,1,20190828,20191214
154,1,1,1,1,1,0,0,20190828,20191214
162,1,1,1,1,1,0,0,20190828,20191214
163,1,1,1,1,1,0,0,20190828,20191214
166,1,1,1,1,1,1,0,20190828,20191214
172,1,1,1,1,1,0,0,20190828,20191214
175,1,1,1,1,1,0,0,20190828,20191214
178,1,1,0,0,1,0,0,20190828,20191214
181,1,1,1,1,1,0,0,20190828,20191214
184,1,1,1,1,1,0,1,20190828,20191214
191,1,1,1,1,1,0,0,20190828,20191214
193,1,1,1,1,1,0,0,20190828,20191214
196,1,1,1,1,1,0,0,20190828,20191214
197,1,1,1,1,1,1,1,20190828,20191214
200,1,1,1,1,1,1,0,20190828,20191214
206,1,1,1,1,0,0,0,20190828,20191214
207,1,1,1,1,1,0,1,20190828,20191214
210,1,1,1,1,0,0,0,20190828,20191214
220,1,1,1,1,1,1,1,20190828,20191214
229,1,1,1,1,1,1,1,20190828,20191214
231,1,1,1,1,0,0,1,20190828,20191214
232,1,1,1,1,1,1,1,20190828,20191214
233,1,1,1,1,1,1,1,20190828,20191214
236,1,1,1,1,0,0,1,20190828,20191214
252,1,1,1,1,1,1,1,20190828,20191214
253,1,1,1,1,1,1,1,20190828,20191214
254,1,1,1,1,1,1,1,20190828,20191214
255,1,1,1,1,1,1,1,20190828,20191214
256,1,1,1,1,1,1,1,20190828,20191214
257,1,1,1,1,1,1,1,20190828,20191214
258,1,1,1,1,1,1,1,20190828,20191214
259,1,1,1,1,1,1,1,20190828,20191214
260,1,1,1,1,1,1,1,20190828,20191214
261,1,1,1,1,1,1,1,20190828,20191214
262,1,1,1,1,1,1,1,20190828,20191214
263,1,1,1,1,1,1,1,20190828,20191214
265,1,1,1,1,1,1,1,20190828,20191214
266,1,1,1,1,1,1,0,20190828,20191214
267,1,1,1,1,1,0,0,20190828,20191214
268,1,1,1,1,1,1,1,20190828,20191214
269,1,1,1,1,1,1,1,20190828,20191214
270,1,1,1,1,0,0,0,20190828,20191214
271,1,1,1,1,1,0,1,20190828,20191214
276,1,1,1,1,1,0,0,20190828,20191214
279,1,1,1,1,1,0,0,20190828,20191214
281,1,1,1,1,0,0,1,20190828,20191214
282,1,1,1,1,0,0,1,20190828,20191214
283,1,1,1,1,0,0,1,20190828,20191214
286,1,1,1,1,1,0,0,20190828,20191214
287,1,1,1,1,1,0,0,20190828,20191214
289,1,1,1,1,1,1,0,20190828,20191214
291,1,1,1,1,1,1,1,20190828,20191214
292,1,1,1,1,0,0,0,20190828,20191214
293,1,1,1,1,1,0,1,20190828,20191214
294,0,1,1,1,1,0,0,20190828,20191214
295,1,1,1,1,1,1,1,20190828,20191214
298,1,1,1,1,1,1,0,20190828,20191214
300,1,1,1,1,1,1,1,20190828,20191214
301,1,1,1,1,1,0,0,20190828,20191214
304,1,1,1,1,1,1,1,20190828,20191214
323,1,1,0,0,0,0,0,20190828,20191214
324,1,1,1,1,1,0,0,20190828,20191214
330,1,1,1,1,1,0,0,20190828,20191214
334,1,1,1,1,1,0,0,20190828,20191214
387,1,1,1,1,1,0,0,20190828,20191214
391,1,1,0,0,1,1,1,20190828,20191214
392,1,1,0,0,1,0,1,20190828,20191214
393,1,1,0,0,0,1,1,20190828,20191214
394,1,1,0,0,1,1,0,20190828,20191214
396,1,1,0,0,0,1,0,20190828,20191214
398,1,1,1,1,1,1,1,20190828,20191214
401,1,1,1,1,1,1,0,20190828,20191214
402,1,1,1,1,1,1,1,20190828,20191214
405,1,1,1,1,1,1,0,20190828,20191214
406,1,1,1,1,1,1,1,20190828,20191214
407,1,1,1,1,1,1,0,20190828,20191214
409,1,1,1,1,1,1,1,20190828,20191214
410,1,1,1,1,1,0,0,20190828,20191214
414,1,1,1,1,1,0,0,20190828,20191214
416,1,1,1,1,1,1,1,20190828,20191214
417,1,1,1,1,1,0,1,20190828,20191214
418,1,1,1,1,1,0,0,20190828,20191214
419,1,1,1,1,1,0,0,20190828,20191214
422,1,1,1,1,1,1,0,20190828,20191214
423,1,1,1,1,0,0,1,20190828,20191214
424,1,1,1,1,1,0,1,20190828,20191214
426,1,1,1,1,1,0,0,20190828,20191214
427,1,1,1,1,0,0,1,20190828,20191214
428,1,1,1,1,1,0,1,20190828,20191214
429,1,1,1,1,1,1,1,20190828,20191214
430,1,1,1,1,1,0,0,20190828,20191214
433,1,1,1,1,0,1,1,20190828,20191214
437,1,1,1,1,1,1,1,20190828,20191214
438,1,1,1,1,1,0,1,20190828,20191214
441,1,1,1,1,1,1,0,20190828,20191214
442,0,1,1,1,1,0,0,20190828,20191214
445,1,1,1,1,0,0,1,20190828,20191214
446,1,1,1,1,1,1,1,20190828,20191214
448,1,1,1,1,1,0,0,20190828,20191214
450,1,1,1,1,1,1,1,20190828,20191214
453,1,1,1,1,0,0,1,20190828,20191214
457,1,1,1,1,1,1,1,20190828,20191214
463,1,1,1,1,1,1,1,20190828,20191214
464,1,1,1,1,1,1,0,20190828,20191214
468,1,1,1,1,1,1,1,20190828,20191214
486,1,1,1,1,1,1,1,20190828,20191214
487,1,1,1,1,1,1,0,20190828,20191214
489,1,1,1,1,0,0,1,20190828,20191214
566,0,1,0,0,0,0,0,20190828,20191214
682,1,1,1,1,1,1,1,20190828,20191214
683,1,1,1,1,1,1,0,20190828,20191214
684,1,1,1,1,0,1,0,20190828,20191214
686,1,1,1,0,0,1,0,20190828,20191214
687,1,1,1,1,1,1,0,20190828,20191214
