route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100016,1,16,,,0,,,
100018,1,18,,,0,,,
501008,5,RE8,,,2,,,
501027,5,RB27,,,2,,,
501030,5,RB30,,,2,,,
501223,5,S23,,,2,,,
600061,6,61,,,0,,,
600062,6,62,,,0,,,
600063,6,63,,,0,,,
600065,6,65,,,0,,,
600066,6,66,,,0,,,
600067,6,67,,,0,,,
600068,6,68,,,0,,,
600540,6,540,,,3,,,
600600,6,600,,,3,,,
600601,6,601,,,3,,,
600602,6,602,,,3,,,
600603,6,603,,,3,,,
600604,6,604,,,3,,,
600605,6,605,,,3,,,
600606,6,606,,,3,,,
600607,6,607,,,3,,,
600608,6,608,,,3,,,
600609,6,609,,,3,,,
600610,6,610,,,3,,,
600611,6,611,,,3,,,
600612,6,612,,,3,,,
600613,6,613,,,3,,,
600614,6,614,,,3,,,
600630,6,630,,,3,,,
600631,6,631,,,3,,,
600632,6,632,,,3,,,
600633,6,633,,,3,,,
600635,6,635,,,3,,,
600636,6,636,,,3,,,
600637,6,637,,,3,,,
600638,6,638,,,3,,,
600639,6,639,,,3,,,
600640,6,640,,,3,,,
600641,6,E,,,3,,,
600642,6,E,,,3,,,
600669,6,SB69,,,3,,,
600670,6,SB60,,,3,,,
600680,6,680,,,3,,,
600681,6,N1,,,3,,,
600682,6,N2,,,3,,,
600683,6,N3,,,3,,,
600684,6,N4,,,3,,,
600685,6,N5,,,3,,,
600686,6,N6,,,3,,,
600687,6,N7,,,3,,,
600688,6,N8,,,3,,,
600689,6,N9,,,3,,,
600690,6,N10,,,3,,,
800055,8,SB55,,,3,,,
800381,8,,SB55/164,,3,,,
800382,8,,164/SB55,,3,,,
800383,8,,163/550,,3,,,
800384,8,,550/163,,3,,,
800516,8,516,,,3,,,
800517,8,517,,,3,,,
800518,8,518,,,3,,,
800520,8,520,,,3,,,
800521,8,521,,,3,,,
800529,8,529,,,3,,,
800537,8,537,,,3,,,
800541,8,541,,,3,,,
800550,8,550,,,3,,,
800551,8,551,,,3,,,
800552,8,552,,,3,,,
800599,8,599,,,3,,,
801501,8,E,,,3,,,
801516,8,516E,,,3,,,
801529,8,529E,,,3,,,
801537,8,537E,,,3,,,
801541,8,541E,,,3,,,
1200753,12,753,,,3,,,
1200800,12,800,,,3,,,
1200812,12,812,,,3,,,
1200817,12,817,,,3,,,
1200818,12,818,,,3,,,
1200843,12,843,,,3,,,
1200845,12,845,,,3,,,
1200855,12,855,,,3,,,
1200856,12,856,,,3,,,
1200857,12,857,,,3,,,
1200882,12,882,,,3,,,
10001026,100,RB26,,,2,,,
13901005,139,,RE5 (RRX),,2,,,
13901048,139,RB48,,,2,,,
123459,123456,F,Rheinnixe,,,,,
