stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
43,,"Bonn Propsthof Nord",,50.739105,7.073522,,,0,,
161,,"Bonn Bad Godesberg Bf",,50.683719,7.159817,,,0,,
371,,"Bonn Bad Godesberg Stadthalle",,50.680336,7.158347,,,0,,
672,,"Bornheim Roisdorf West",,50.754257,7.007590,,,0,,
681,,"Alfter / Alanus Hochschule",,50.743275,7.017512,,,0,,
683,,"Bonn Museum Koenig",,50.721756,7.114533,,,0,,
684,,"Bonn Bundesrechnungshof/Auswärtiges Amt",,50.725569,7.111593,,,0,,
685,,"Bonn Juridicum",,50.730103,7.108428,,,0,,
686,,"Bonn Universität/Markt",,50.732347,7.102150,,,0,,
687,,"Bonn Hbf",,50.732019,7.096944,,,0,,
688,,"Bonn West",,50.736571,7.081142,,,0,,
689,,"Bonn Brühler Str.",,50.740271,7.068859,,,0,,
690,,"Bonn Olof-Palme-Allee",,50.706809,7.131025,,,0,,
691,,"Bonn Ollenhauerstr.",,50.711383,7.126577,,,0,,
692,,"Bonn Heussallee/Museumsmeile",,50.716746,7.120517,,,0,,
693,,"Bonn Tannenbusch Süd",,50.742379,7.055576,,,0,,
694,,"Bonn Tannenbusch Mitte",,50.750902,7.046557,,,0,,
695,,"Bonn Buschdorf",,50.758058,7.046546,,,0,,
696,,"Bonn Robert-Kirchhoff-Str.",,50.737948,7.056496,,,0,,
697,,"Bonn Dransdorf",,50.737359,7.047105,,,0,,
698,,"Bonn Max-Löbner-Str./Friesdorf",,50.700841,7.137450,,,0,,
699,,"Bonn Hochkreuz/Deutsches Museum Bonn",,50.696774,7.141498,,,0,,
700,,"Bonn Wurzerstr.",,50.691540,7.148023,,,0,,
701,,"Bonn Plittersdorfer Str.",,50.687851,7.153876,,,0,,
1038,,"Bonn Zum Wingertsberg",,50.697278,7.070358,,,0,,
1045,,"Bonn Richard-Scherer-Str.",,50.747319,7.138151,,,0,,
1102,,"Bonn Friedensplatz",,50.736147,7.097635,,,0,,
1103,,"Bonn Markt",,50.734680,7.102644,,,0,,
1104,,"Bonn Stadthaus",,50.736402,7.095375,,,0,,
1106,,"Bonn Thomas-Mann-Str.",,50.733782,7.094888,,,0,,
1110,,"Bonn Wilhelmsplatz",,50.740154,7.098933,,,0,,
1111,,"Bonn Beethovenhalle Und Swb",,50.740389,7.101574,,,0,,
1112,,"Bonn Stiftsplatz",,50.739103,7.101614,,,0,,
1113,,"Bonn Sandkaule/Bertha-Von-Suttner-Platz",,50.737910,7.103258,,,0,,
1114,,"Bonn Opernhaus",,50.736744,7.105865,,,0,,
1115,,"Bonn Bertha-Von-Suttner-Pl./Beethovenhaus",,50.737477,7.102483,,,0,,
1116,,"Bonn Johannesstr.",,50.734006,7.118663,,,0,,
1117,,"Bonn Bad Godesberg Fähre",,50.691400,7.171144,,,0,,
1123,,"Bonn Arndtstr.",,50.724640,7.108158,,,0,,
1124,,"Bonn Nassestr./Arithmeum",,50.728668,7.104301,,,0,,
1125,,"Bonn Nonnenpfad",,50.745310,7.132166,,,0,,
1126,,"Bonn Gerhardstr.",,50.746895,7.132828,,,0,,
1127,,"Bonn Schillingsweg",,50.747207,7.135825,,,0,,
1128,,"Bonn Gartenstr.",,50.742942,7.133525,,,0,,
1130,,"Bonn Königstr.",,50.728296,7.101786,,,0,,
1131,,"Bonn Weberstr.",,50.725598,7.101949,,,0,,
1132,,"Bonn Rittershausstr.",,50.721783,7.104224,,,0,,
1133,,"Bonn Luisenstr.",,50.721177,7.097965,,,0,,
