from_stop_id,to_stop_id,transfer_type,min_transfer_time
43,43,2,300
161,161,2,300
161,371,2,600
161,7184,2,300
161,9477,2,300
371,161,2,600
371,371,2,300
672,672,2,180
681,681,2,300
681,6580,2,300
683,683,2,300
684,684,2,300
685,685,2,300
686,686,2,600
687,687,2,300
688,688,2,300
689,689,2,300
690,690,2,300
691,691,2,300
692,692,2,300
693,693,2,180
694,694,2,180
695,695,2,300
696,696,2,300
697,697,2,120
697,1456,2,300
698,698,2,300
699,699,2,300
700,700,2,300
701,701,2,300
1103,1114,2,360
1104,1104,2,300
1106,1142,2,540
1110,1110,2,180
1113,1114,2,300
1113,1115,2,360
1114,1103,2,360
1114,1113,2,300
1114,1115,2,300
1115,1113,3,0
1115,1114,2,300
1115,1115,2,180
1115,2667,2,300
1131,1133,2,300
1131,1134,2,300
1132,1133,2,300
1132,1134,2,300
1132,1136,2,300
1133,1131,2,300
1133,1132,2,300
1134,1131,2,300
1134,1132,2,300
1136,1132,2,300
1136,1255,2,300
1142,1106,2,540
1178,1179,2,240
1179,1178,2,240
1185,2738,2,180
1252,1252,2,60
1253,1255,3,0
1255,1136,2,300
1255,1253,2,360
1268,1268,2,120
1296,1297,2,180
1297,1296,3,0
1306,1306,2,360
1312,1314,2,180
1314,1312,2,180
1314,1315,2,180
1315,1314,2,180
1341,1341,2,180
1345,1354,2,180
1354,1345,2,180
1360,1364,2,180
1364,1360,2,180
1430,2533,2,60
1456,697,2,300
1500,1500,2,300
1500,9161,2,240
1502,1504,2,420
1502,8635,2,120
1504,1502,2,420
1504,1504,2,300
1504,8635,2,480
1522,1523,2,300
1523,1522,2,300
1543,2306,2,240
1591,9624,2,420
1601,1607,3,0
1601,7184,2,300
1604,1607,3,0
1607,1601,2,180
1607,1604,2,180
1607,7184,2,420
1770,1770,2,360
1774,1774,2,180
1774,2179,2,300
1777,2675,2,300
2179,1774,2,300
2179,2179,2,300
2306,1543,2,240
2533,1430,3,0
2667,1115,2,300
2675,1777,2,300
2738,1185,2,180
6025,9599,2,360
6580,681,2,300
7184,161,2,300
7184,1601,2,300
7184,1607,2,420
8243,8243,2,180
8635,1502,2,120
8635,1504,2,480
8841,8841,2,180
9161,1500,2,240
9477,161,2,300
9599,6025,2,360
9601,9601,2,300
9601,9758,2,300
9624,1591,2,420
9624,9624,2,300
9758,9601,2,300
